theme,publication_count,unique_users,avg_per_user
блог компании ruvds.com,1302,29,44.9
блог компании timeweb cloud,846,30,28.2
блог компании online patent,684,8,85.5
искусственный интеллект,636,123,5.17
научно-популярное,626,74,8.46
блог компании bothub,608,4,152.0
информационная безопасность,564,113,4.99
блог компании selectel,550,11,50.0
программирование,434,98,4.43
разработка игр,314,47,6.68
python,299,83,3.6
блог компании microsoft,289,3,96.33
open source,287,65,4.42
веб-разработка,244,69,3.54
javascript,243,48,5.06
блог компании otus,233,4,58.25
гаджеты,225,57,3.95
финансы в it,222,35,6.34
блог компании firstvds,215,3,71.67
diy или сделай сам,214,58,3.69
блог компании мтс,209,7,29.86
блог компании positive technologies,203,3,67.67
законодательство в it,202,39,5.18
блог компании cloud4y,199,1,199.0
блог компании нанософт разработка,199,1,199.0
it-компании,193,59,3.27
я пиарюсь,191,69,2.77
космонавтика,189,24,7.88
блог компании click.ru,183,1,183.0
блог компании ispsystem,172,2,86.0
анализ и проектирование систем,170,48,3.54
css,168,21,8.0
читальный зал,166,40,4.15
чулан,162,43,3.77
блог компании postgres professional,155,4,38.75
блог компании beeline cloud,148,2,74.0
управление проектами,146,52,2.81
блог компании beget,145,6,24.17
блог компании pvs-studio,143,3,47.67
блог компании хабр,140,5,28.0
блог компании ggsel.net,131,1,131.0
c++,124,31,4.0
блог компании icover.ru,124,3,41.33
социальные сети,120,49,2.45
настройка linux,120,35,3.43
здоровье,120,32,3.75
блог компании яндекс,119,7,17.0
блог компании финам,118,1,118.0
блог компании мойофис,117,1,117.0
блог компании «лаборатория касперского»,115,4,28.75
будущее здесь,114,39,2.92
блог компании yadro,114,6,19.0
карьера в it-индустрии,110,54,2.04
gtd,109,25,4.36
блог компании alconost,109,1,109.0
блог компании сбер,108,6,18.0
смартфоны,107,38,2.82
машинное обучение,106,37,2.86
блог компании intel,106,4,26.5
блог компании издательский дом «питер»,106,2,53.0
блог компании t.hunter,102,1,102.0
блог компании mws cloud,101,2,50.5
блог компании группа компаний x-com,101,1,101.0
блог компании 1cloud.ru,100,1,100.0
блог компании инфопульс украина,100,1,100.0
блог компании vivaldi technologies as,100,1,100.0
блог компании wunder fund,100,1,100.0
блог компании apps4all,100,1,100.0
блог компании wiren board,100,1,100.0
блог компании eset nod32,100,1,100.0
блог компании vas experts,100,1,100.0
блог компании paysto,99,1,99.0
блог компании maxilect,99,1,99.0
история it,98,41,2.39
блог компании тензор,98,1,98.0
блог компании lamptest,98,1,98.0
блог компании журнал хакер,97,4,24.25
астрономия,96,15,6.4
игры и игровые консоли,95,32,2.97
исследования и прогнозы в it,95,27,3.52
блог компании wolfram research,95,1,95.0
копирайт,92,21,4.38
алгоритмы,91,46,1.98
компьютерное железо,91,39,2.33
блог компании ibs,91,1,91.0
блог компании фонд развития интернет-инициатив,90,1,90.0
блог компании технократия,90,4,22.5
бизнес-модели,89,25,3.56
блог компании plarium,89,1,89.0
блог компании product radar,89,1,89.0
математика,86,31,2.77
программирование микроконтроллеров,83,22,3.77
блог компании билайн,82,1,82.0
laravel,80,2,40.0
разработка мобильных приложений,79,24,3.29
управление персоналом,78,36,2.17
блог компании amvera,77,3,25.67
android,76,29,2.62
ненормальное программирование,75,24,3.12
сетевые технологии,72,26,2.77
блог компании true engineering,72,1,72.0
мозг,72,14,5.14
postgresql,71,14,5.07
системное администрирование,70,27,2.59
развитие стартапа,69,24,2.88
блог компании hostkey,67,2,33.5
блог компании флант,66,1,66.0
веб-дизайн,65,17,3.82
it-инфраструктура,63,42,1.5
java,63,36,1.75
беспроводные технологии,63,25,2.52
физика,63,15,4.2
блог компании opera,62,1,62.0
c,61,22,2.77
робототехника,61,27,2.26
php,61,17,3.59
блог компании мойсклад,61,1,61.0
лайфхаки для гиков,60,16,3.75
проектирование api,60,19,3.16
венчурные инвестиции,59,13,4.54
usability,58,17,3.41
.net,57,21,2.71
*nix,57,24,2.38
блог компании юmoney,57,1,57.0
devops,56,25,2.24
управление продуктом,56,20,2.8
joomla,56,2,28.0
блог компании simpleone,56,1,56.0
блог компании битрикс24,55,1,55.0
блог компании слёрм,55,2,27.5
биотехнологии,54,18,3.0
блог компании кибермаркет юлмарт,54,3,18.0
go,53,12,4.42
блог компании конференции олега бунина (онтико),53,6,8.83
блог компании бастион,53,2,26.5
блог компании gals software,53,1,53.0
тестирование it-систем,52,19,2.74
блог компании vk,52,7,7.43
big data,52,21,2.48
интернет-маркетинг,52,18,2.89
дизайн,51,28,1.82
блог компании just ai,51,1,51.0
блог компании vdsina.ru,50,5,10.0
интерфейсы,49,28,1.75
блог компании газпромбанк,49,2,24.5
контент и копирайтинг,48,19,2.53
it-стандарты,47,22,2.14
блог компании туту,47,1,47.0
блог компании asus,47,6,7.83
блог компании хекслет,47,1,47.0
блог компании naumen,46,1,46.0
блог компании teamly,46,1,46.0
cms,45,4,11.25
учебный процесс в it,44,26,1.69
производство и разработка электроники,44,17,2.59
мессенджеры,43,28,1.54
data mining,43,24,1.79
ios,43,11,3.91
софт,42,30,1.4
блог компании leader-id,42,2,21.0
децентрализованные сети,41,21,1.95
энергия и элементы питания,41,19,2.16
google chrome,40,20,2.0
блог компании ultravds,40,1,40.0
блог компании payonline,40,2,20.0
erp-системы,39,6,6.5
биология,38,10,3.8
блог компании фонд reactos,38,1,38.0
windows,38,16,2.38
блог компании papa buba diop,38,1,38.0
блог компании ssp soft,38,1,38.0
занимательные задачки,37,16,2.31
транспорт,36,10,3.6
natural language processing,36,9,4.0
yii,36,1,36.0
старое железо,35,11,3.18
обработка изображений,35,19,1.84
управление разработкой,35,22,1.59
блог компании пик,35,1,35.0
assembler,34,15,2.27
блог компании axiom jdk,33,4,8.25
блог компании softpoint,33,1,33.0
звук,32,16,2.0
электроника для начинающих,32,14,2.29
блог компании vscextv,32,1,32.0
аналитика мобильных приложений,31,9,3.44
data engineering,31,14,2.21
блог компании coolrf,31,1,31.0
блог компании pechkin.com,31,1,31.0
unity,30,12,2.5
криптография,29,14,2.07
работа с видео,29,15,1.93
блог компании devrain solutions,29,1,29.0
блог компании ред софт,29,1,29.0
логические игры,28,5,5.6
реверс-инжиниринг,28,10,2.8
firefox,28,14,2.0
блог компании clevertec,28,2,14.0
блог компании т-банк,28,4,7.0
блог компании мосигра,27,2,13.5
высоконагруженные системы,27,18,1.5
rust,27,12,2.25
блог компании digital security,27,2,13.5
3d-графика,26,19,1.37
блог компании лаборатория числитель,26,1,26.0
блог компании owasp,26,1,26.0
платежные системы,25,18,1.39
angular,25,6,4.17
управление продажами,25,6,4.17
блог компании data feeling school,25,3,8.33
elixir/phoenix,25,2,12.5
блог компании инфосистемы джет,25,3,8.33
node.js,24,8,3.0
криптовалюты,24,14,1.71
nginx,24,5,4.8
параллельное программирование,24,2,12.0
блог компании box overview,24,1,24.0
ar и vr,23,12,1.92
блог компании idx,23,1,23.0
it-эмиграция,22,10,2.2
arduino,22,16,1.38
блог компании madrobots,22,3,7.33
блог компании mango office,22,1,22.0
блог компании невсем,22,1,22.0
блог компании flipper devices inc.,22,1,22.0
linux,21,17,1.24
профессиональная литература,21,10,2.1
блог компании kaiten,21,1,21.0
краудсорсинг,20,15,1.33
геоинформационные сервисы,20,15,1.33
веб-аналитика,20,8,2.5
flutter,20,5,4.0
dart,20,5,4.0
блог компании псб,20,1,20.0
блог компании bercut,20,1,20.0
блог компании golovachcourses,20,1,20.0
браузеры,19,16,1.19
html,19,14,1.36
управление сообществом,19,11,1.73
блог компании wirex,19,2,9.5
блог компании инферит,19,1,19.0
github,18,13,1.38
микросервисы,18,6,3.0
фриланс,18,12,1.5
визуализация данных,18,12,1.5
блог компании infatica.io,18,1,18.0
облачные вычисления,17,11,1.55
облачные сервисы,17,10,1.7
блог компании даджет,17,4,4.25
блог компании zeptobars,17,1,17.0
блог компании кэмп ex кампус,17,2,8.5
блог компании островок!,17,1,17.0
поисковые технологии,16,9,1.78
управление медиа,16,11,1.45
сотовая связь,16,8,2.0
блог компании shopozz.com,16,1,16.0
блог компании web-payment.ru,16,1,16.0
c#,15,12,1.25
блог компании ннгу им. н.и. лобачевского,15,1,15.0
agile,15,12,1.25
$mol,15,1,15.0
инфографика,15,5,3.0
статистика в it,15,7,2.14
хостинг,15,9,1.67
изучение языков,15,7,2.14
блог компании хабр карьера,15,2,7.5
блог компании serverspace,15,1,15.0
дизайн игр,14,11,1.27
системы связи,14,10,1.4
git,14,10,1.4
базы данных,14,8,1.75
управление e-commerce,14,10,1.4
открытые данные,14,8,1.75
стандарты связи,14,11,1.27
графический дизайн,14,7,2.0
умный дом,14,10,1.4
sql,14,8,1.75
блог компании getmatch,14,1,14.0
промышленное программирование,14,5,2.8
блог компании femida search,14,3,4.67
блог компании гк ланит,14,4,3.5
монетизация веб-сервисов,14,4,3.5
блог компании профи.ру,14,1,14.0
схемотехника,13,6,2.17
проектирование и рефакторинг,13,8,1.62
swift,13,5,2.6
блог компании crosstech solutions group,13,1,13.0
блог компании itsumma,13,1,13.0
godot,12,1,12.0
dns,12,11,1.09
процессоры,12,9,1.33
блог компании орбита,12,1,12.0
качество кода,12,7,1.71
ооп,12,8,1.5
google api,12,9,1.33
научная фантастика,12,7,1.71
блог компании яндекс практикум,12,1,12.0
видеокарты,12,6,2.0
блог компании совкомбанк технологии,12,1,12.0
блог компании итмо,12,1,12.0
компиляторы,12,7,1.71
хабрахабр,12,9,1.33
блог компании тантор лабс,12,3,4.0
блог компании проект лунного микроспутника,12,1,12.0
инженерные системы,11,8,1.38
typescript,11,6,1.83
3d-принтеры,11,9,1.22
типографика,11,5,2.2
adobe flash,11,6,1.83
reactjs,11,9,1.22
блог компании hewlett packard enterprise,11,1,11.0
блог компании haulmont,11,2,5.5
доменные имена,11,6,1.83
блог компании itglobal.com,11,1,11.0
fpga,11,4,2.75
блог компании контекстлаб,11,1,11.0
блог компании jetbrains,11,1,11.0
блог компании crossover,11,1,11.0
блог компании intekey,11,1,11.0
magento,11,1,11.0
экология,10,7,1.43
монетизация мобильных приложений,10,1,10.0
дизайн мобильных приложений,10,3,3.33
