date,publication_count,weekday
2006-12-20,1,Wednesday
2007-03-17,1,Saturday
2007-05-07,1,Monday
2007-11-28,1,Wednesday
2008-03-17,1,Monday
2008-03-19,1,Wednesday
2008-04-04,2,Friday
2008-04-10,2,Thursday
2008-04-12,1,Saturday
2008-04-15,1,Tuesday
2008-04-16,6,Wednesday
2008-04-17,1,Thursday
2008-04-25,1,Friday
2008-04-29,2,Tuesday
2008-04-30,1,Wednesday
2008-05-01,3,Thursday
2008-05-02,6,Friday
2008-05-05,1,Monday
2008-05-06,1,Tuesday
2008-05-07,3,Wednesday
2008-05-08,3,Thursday
2008-05-12,1,Monday
2008-05-13,1,Tuesday
2008-05-14,3,Wednesday
2008-05-15,1,Thursday
2008-05-16,1,Friday
2008-05-17,2,Saturday
2008-05-18,7,Sunday
2008-05-20,1,Tuesday
2008-05-21,1,Wednesday
2008-05-22,3,Thursday
2008-05-23,3,Friday
2008-05-24,1,Saturday
2008-05-26,1,Monday
2008-05-28,1,Wednesday
2008-06-03,1,Tuesday
2008-06-08,1,Sunday
2008-06-17,1,Tuesday
2008-06-25,1,Wednesday
2008-07-01,1,Tuesday
2008-07-16,1,Wednesday
2008-07-18,1,Friday
2008-07-21,2,Monday
2008-08-11,1,Monday
2008-08-15,2,Friday
2008-08-16,1,Saturday
2008-08-19,1,Tuesday
2008-08-22,1,Friday
2008-08-30,1,Saturday
2008-09-04,1,Thursday
2008-09-06,1,Saturday
2008-09-08,1,Monday
2008-09-14,1,Sunday
2008-09-19,1,Friday
2008-09-22,2,Monday
2008-09-26,1,Friday
2008-09-30,1,Tuesday
2008-10-02,1,Thursday
2008-10-05,1,Sunday
2008-10-07,1,Tuesday
2008-10-24,1,Friday
2008-10-27,1,Monday
2008-10-30,1,Thursday
2008-11-06,1,Thursday
2008-11-10,1,Monday
2008-11-12,1,Wednesday
2008-11-29,1,Saturday
2008-12-05,1,Friday
2008-12-06,1,Saturday
2008-12-08,1,Monday
2008-12-09,1,Tuesday
2008-12-12,1,Friday
2008-12-17,1,Wednesday
2008-12-20,1,Saturday
2008-12-22,1,Monday
2008-12-24,1,Wednesday
2008-12-25,1,Thursday
2008-12-26,3,Friday
2008-12-27,1,Saturday
2008-12-29,1,Monday
2009-01-08,1,Thursday
2009-01-15,2,Thursday
2009-01-16,1,Friday
2009-01-19,1,Monday
2009-01-21,1,Wednesday
2009-01-28,1,Wednesday
2009-02-11,1,Wednesday
2009-02-17,1,Tuesday
2009-02-25,1,Wednesday
2009-03-13,1,Friday
2009-03-18,2,Wednesday
2009-03-19,1,Thursday
2009-03-20,1,Friday
2009-03-22,1,Sunday
2009-03-24,2,Tuesday
2009-03-25,1,Wednesday
2009-03-26,2,Thursday
2009-03-27,2,Friday
2009-03-30,1,Monday
2009-04-08,1,Wednesday
2009-04-09,1,Thursday
2009-04-12,1,Sunday
2009-04-23,1,Thursday
2009-05-12,1,Tuesday
2009-05-21,1,Thursday
2009-05-23,1,Saturday
2009-06-04,1,Thursday
2009-06-07,2,Sunday
2009-06-08,2,Monday
2009-06-17,1,Wednesday
2009-06-22,1,Monday
2009-07-01,1,Wednesday
2009-07-03,1,Friday
2009-07-17,1,Friday
2009-07-22,1,Wednesday
2009-08-01,1,Saturday
2009-08-02,1,Sunday
2009-08-05,1,Wednesday
2009-08-12,1,Wednesday
2009-08-14,1,Friday
2009-08-18,2,Tuesday
2009-08-23,1,Sunday
2009-08-25,2,Tuesday
2009-08-27,3,Thursday
2009-08-29,3,Saturday
2009-09-02,1,Wednesday
2009-09-04,2,Friday
2009-09-07,1,Monday
2009-09-08,1,Tuesday
2009-09-10,2,Thursday
2009-09-15,1,Tuesday
2009-09-17,1,Thursday
2009-09-18,2,Friday
2009-09-19,2,Saturday
2009-09-21,1,Monday
2009-09-22,1,Tuesday
2009-09-24,1,Thursday
2009-10-04,1,Sunday
2009-10-07,1,Wednesday
2009-10-11,1,Sunday
2009-10-13,1,Tuesday
2009-10-14,1,Wednesday
2009-10-23,1,Friday
2009-10-26,1,Monday
2009-10-27,1,Tuesday
2009-11-04,1,Wednesday
2009-11-11,1,Wednesday
2009-11-14,1,Saturday
2009-11-16,1,Monday
2009-11-18,1,Wednesday
2009-11-23,1,Monday
2009-12-01,1,Tuesday
2009-12-04,1,Friday
2009-12-08,1,Tuesday
2009-12-10,2,Thursday
2009-12-11,1,Friday
2009-12-12,1,Saturday
2009-12-13,1,Sunday
2009-12-14,1,Monday
2009-12-15,2,Tuesday
2009-12-18,1,Friday
2009-12-21,1,Monday
2009-12-25,1,Friday
2009-12-28,1,Monday
2010-01-07,1,Thursday
2010-01-08,1,Friday
2010-01-09,3,Saturday
2010-01-10,2,Sunday
2010-01-11,2,Monday
2010-01-12,3,Tuesday
2010-01-13,1,Wednesday
2010-01-14,1,Thursday
2010-01-15,1,Friday
2010-01-16,1,Saturday
2010-01-17,1,Sunday
